년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2013","세 종","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","적 채","327","3117","10194","289","3149","9101","38","2875",1092
"2013","서 울","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","적 채","30","2359","708","10","1694","169","20","2692",538
"2013","강 원","양 채 류","적 채","74","2887","2136","68","2894","1968","6","2807",168
"2013","충 북","양 채 류","적 채","50","3734","1867","45","3789","1705","5","3242",162
"2013","충 남","양 채 류","적 채","5","3234","162","0","0","0","5","3234",162
"2013","전 북","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","전 남","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","경 북","양 채 류","적 채","2","3087","62","0","0","0","2","3087",62
"2013","경 남","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","제 주","양 채 류","적 채","166","3168","5259","166","3168","5259","0","0",0
"2013","세 종","양 채 류","적 채","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","파 세 리","44","1688","739","15","1045","155","29","2016",585
"2013","서 울","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","대 전","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","울 산","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","경 기","근 채 류","토 란","34","1153","392","33","1146","378","1","1369",14
"2013","강 원","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","충 북","근 채 류","토 란","1","1350","14","1","1350","14","0","0",0
"2013","충 남","근 채 류","토 란","2","1625","33","0","0","0","2","1625",33
"2013","전 북","근 채 류","토 란","20","1188","238","20","1188","238","0","0",0
"2013","전 남","근 채 류","토 란","122","1606","1959","122","1606","1959","0","0",0
"2013","경 북","근 채 류","토 란","2","1159","23","2","1159","23","0","0",0
"2013","경 남","근 채 류","토 란","6","1703","102","6","1703","102","0","0",0
"2013","제 주","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","(세 종)","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","전 국","기 타 채 소","기 타 채 소","3735","0","113567","1652","0","52166","2083","0",61401
"2013","서 울","기 타 채 소","기 타 채 소","72","0","1742","0","0","0","72","0",1742
"2013","부 산","기 타 채 소","기 타 채 소","5","0","92","4","0","66","1","0",26
"2013","대 구","기 타 채 소","기 타 채 소","35","0","1066","0","0","0","35","0",1066
"2013","인 천","기 타 채 소","기 타 채 소","15","0","315","0","0","0","15","0",315
"2013","광 주","기 타 채 소","기 타 채 소","37","0","794","5","0","179","32","0",615
"2013","대 전","기 타 채 소","기 타 채 소","5","0","126","0","0","0","5","0",126
"2013","울 산","기 타 채 소","기 타 채 소","6","0","169","0","0","0","6","0",169
"2013","경 기","기 타 채 소","기 타 채 소","532","0","14905","27","0","543","505","0",14362
"2013","강 원","기 타 채 소","기 타 채 소","269","0","4248","150","0","2628","119","0",1620
"2013","충 북","기 타 채 소","기 타 채 소","33","0","756","0","0","0","33","0",756
"2013","충 남","기 타 채 소","기 타 채 소","530","0","20201","220","0","10848","310","0",9353
"2013","전 북","기 타 채 소","기 타 채 소","87","0","1575","40","0","530","47","0",1045
